2023-07-11	23:21:33	412cb3b6-06fb-4d35-adb5-4faa2ab28661	Log event emitted
2023-07-11	23:21:49	f6d2e77d-3d96-4a14-a74c-d3f27f72c9cf	Log event emitted
2023-07-11	23:25:20	674160c4-2c04-4c2e-a0d2-c626c980554c	Log event emitted
2023-07-11	23:25:30	892ff388-4c2e-4656-9c61-ca87e3ecceaf	Log event emitted
2023-07-11	23:36:57	ca8a57a5-4b11-4e6d-a1c0-231e4780253f	Log event emitted
2023-07-11	23:37:12	3d2dc4f2-c9bc-4bfd-8c24-9852ed49ed3a	Log event emitted
2023-07-13	09:40:20	8ca3a03d-f9bc-4068-b571-ed2f96c823b8	/new-page.html	GET
2023-07-13	09:40:20	3234f014-4025-4997-af1c-1d26ba3a8b38	/css/style.css	GET
2023-07-13	09:40:20	08c00243-ec0e-4c14-aa36-ffa51b71e962	/img/img1.jpg	GET
2023-07-13	09:40:20	deb5de4f-158b-49e9-ab6f-da0359d48eeb	/favicon.ico	GET
2023-07-13	09:40:45	1be0c064-3fff-4ece-97bc-9db1620bc9b7	/new-page.html	GET
2023-07-13	09:40:45	89eb5904-948c-44c2-8192-bdbf8e17ab64	TypeError:fsPromises.readFil is not a function
2023-07-13	09:41:29	018c78ff-1640-4aea-bdea-0512929fdfe9	/new-page.html	GET
2023-07-13	09:41:29	6327874f-a117-4b3c-9810-34847075c387	TypeError:fsPromises.readFil is not a function
2023-07-13	09:41:32	956b89b8-70d9-4b1b-89cb-991a4b19457b	/new-page.html	GET
2023-07-13	09:41:32	0b54e4e5-0427-496a-9468-ab8cc5342e42	TypeError:fsPromises.readFil is not a function
2023-07-13	09:41:47	eb64aa3b-f599-48c5-ad23-86e405996767	/data/data.txt	GET
2023-07-13	21:49:00	964ee8e8-cf96-4600-b1db-802e97916de1	GET	undefined	/
2023-07-13	21:52:15	1f30e259-2d8b-4907-91c4-2db18fd36aa7	GET	undefined	/
2023-07-13	21:52:58	a04cc978-d621-4f2f-98ad-bc14f484dc5c	OPTIONS	https://www.google.com	/
2023-07-13	21:52:58	57811d90-b74c-4e3f-9bb8-76ee64137492	GET	https://www.google.com	/
2023-07-13	21:58:01	05fec1bb-2d83-4978-aede-3dde79d0dd95	OPTIONS	https://www.google.com	/
2023-07-13	21:58:01	069d1647-787f-4d94-8f93-1a876b0eb8a9	GET	https://www.google.com	/
2023-07-13	22:15:17	1671d9b7-24b7-4ebb-82d5-63bbbd5826fd	OPTIONS	https://www.google.com	/
2023-07-13	22:15:17	6e30f109-9ccd-4c37-85b3-13e829549665	GET	https://www.google.com	/
2023-07-13	22:15:30	e9a719b2-9d15-4382-86b4-ae4434998e1a	OPTIONS	https://www.google.com	/
2023-07-13	22:15:30	c0fcf2bd-8639-42e5-9d98-563f4801f4cf	GET	https://www.google.com	/
2023-07-13	22:15:35	8cb5b707-f54e-48c9-b173-b30267e63076	OPTIONS	https://www.google.com	/
2023-07-13	22:15:35	24241866-62f1-4009-85be-b5e263e0708b	GET	https://www.google.com	/
2023-07-13	22:15:54	bc370562-e9f0-41b3-a3dc-decbf946b351	OPTIONS	https://www.google.com	/
2023-07-13	22:15:54	c39d65d7-1a05-4bde-838f-82e064840a21	GET	https://www.google.com	/
2023-07-13	22:15:59	b6c6331f-1ffc-4b01-ab0c-4e5fa6f2aca0	OPTIONS	https://www.google.com	/
2023-07-13	22:15:59	81ef1320-17c2-4d63-ac30-861bec66902f	GET	https://www.google.com	/
2023-07-13	22:16:45	5d88c984-1830-43e6-ba2e-7739535cdba1	OPTIONS	https://www.google.com	/
2023-07-13	22:16:45	eb516088-77e0-4df7-8f86-ad2f9173d8bc	GET	https://www.google.com	/
2023-07-13	22:17:05	b5337066-3321-48f9-974e-4a7620c0a035	OPTIONS	https://www.google.com	/
2023-07-13	22:17:05	b79dcbc3-6a61-447c-b74f-d3870a8831fa	GET	https://www.google.com	/
2023-07-13	22:17:29	42af99d0-e476-4049-840d-76277e78a3fe	OPTIONS	https://www.google.com	/
2023-07-13	22:17:29	4fd0dc51-a52c-4e3a-9e2e-c182ae9eee5e	GET	https://www.google.com	/
2023-07-13	22:19:28	59d45d39-11e8-4c18-bafa-54a64821b5a1	OPTIONS	https://www.google.com	/
2023-07-13	22:19:28	47349764-b2dc-4fc3-9af0-dd57cc9f8314	GET	https://www.google.com	/
2023-07-13	22:35:18	c20762e9-82e1-4fe5-8b88-d53caa04c49f	GET	undefined	/new-page.html
2023-07-13	22:35:18	0f48e570-d814-419e-a27f-d21aef5f97b3	GET	undefined	/new-page.html
2023-07-13	22:36:00	00f54800-40d8-488d-945b-3f075cc817f7	GET	undefined	/new-page.html
2023-07-13	22:37:31	778b9b6b-4227-4a45-8343-6f3d9096d7d3	GET	undefined	/new-page.html
2023-07-13	22:50:16	87f64a0b-f2f1-429f-be58-ccdf4506c9bc	GET	undefined	/new-page.html
2023-07-13	22:50:23	302d4026-264c-4d48-bbf1-83a4bf53af40	GET	undefined	/
